Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Condor,SP530,SP530,877MB,Phone,Spreadtrum SC9832,720x1280,320,armeabi-v7a;armeabi,24,2.0
Condor,Plume L2,Plume_L2,2868MB,Phone,Mediatek MT6737,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.1
Condor,Plume P6 Pro LTE,PGN528,1893-1915MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23;24,3.0;3.1
Condor,Plume A8 Plus,PGN612,3804-3811MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24,3.0;3.2
Condor,TFX714L,TFX714L,919MB,Tablet,Mediatek MT8735M,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Condor,Plume P8 Lite,PGN610,2902-2921MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23;24,3.0;3.1
Condor,Infinity_E4,Infinity_e4,1801MB,Phone,Spreadtrum SC9832E,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Condor,PHQ525,PHQ525,926MB,Phone,Spreadtrum SC9832,480x854,240,armeabi-v7a;armeabi,23,2.0
Condor,Allure M3,Allure_M3,3765MB,Phone,Mediatek MT6771,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Condor,Plume L1,SP622,1912MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Condor,Allure A55 Plus,PGN613,3824MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Condor,Infinity_a4,Infinity_a4,2806MB,Phone,Spreadtrum SC9832E,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Condor,Allure M2,Allure_M2,3863-3864MB,Phone,Mediatek MT6757,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24;27,3.2
